"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 05 21:18:51 GMT 2025","Sat Apr 05 21:18:54 GMT 2025","3158","webkit","sanity.spec.ts","","","","validate the Contact form with invalid email",""
"passed","Sat Apr 05 21:18:20 GMT 2025","Sat Apr 05 21:18:23 GMT 2025","3624","chromium","sanity.spec.ts","","","","founders are visible on the Leadership page",""
"passed","Sat Apr 05 21:18:34 GMT 2025","Sat Apr 05 21:18:35 GMT 2025","1539","firefox","sanity.spec.ts","","","","validate the Contact form with invalid email",""
"passed","Sat Apr 05 21:18:36 GMT 2025","Sat Apr 05 21:18:47 GMT 2025","10750","webkit","sanity.spec.ts","","","","founders are visible on the Leadership page",""
"passed","Sat Apr 05 21:18:48 GMT 2025","Sat Apr 05 21:18:51 GMT 2025","3148","webkit","sanity.spec.ts","","","","validate the required fields in Contact form",""
"passed","Sat Apr 05 21:18:25 GMT 2025","Sat Apr 05 21:18:27 GMT 2025","1598","chromium","sanity.spec.ts","","","","validate the Contact form with invalid email",""
"passed","Sat Apr 05 21:18:28 GMT 2025","Sat Apr 05 21:18:32 GMT 2025","3928","firefox","sanity.spec.ts","","","","founders are visible on the Leadership page",""
"passed","Sat Apr 05 21:18:24 GMT 2025","Sat Apr 05 21:18:25 GMT 2025","1677","chromium","sanity.spec.ts","","","","validate the required fields in Contact form",""
"passed","Sat Apr 05 21:18:32 GMT 2025","Sat Apr 05 21:18:34 GMT 2025","1527","firefox","sanity.spec.ts","","","","validate the required fields in Contact form",""
